,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0,at cowok beru lacak perhati lantas remeh perhati kakak khusus basic cowok bego,1,1,1,0,0,0,0,0,1,1,0,0
1,telat a tau edan rap gaul deh an cigax jifla cal licew,0,1,0,0,0,0,0,0,0,0,0,0
2,41 kada pikir perca tuhan jatuh kali kali kada mera tuhan nih galkan tua rencana berpi h kakak pilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0
3,ku tau mata sipit lihat,0,0,0,0,0,0,0,0,0,0,0,0
4,kaum cebo kafir lihat do okn do oke haha,1,1,0,1,1,0,0,0,0,0,1,0
5,bani taplak kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
6,deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh ri jabon,0,0,0,0,0,0,0,0,0,0,0,0
7,selesai re watch aldnoah zero pali k ret emak endi 2 kakak ter utama cowon kena friendzone bro xd,0,1,0,0,0,0,0,0,0,0,0,0
8,admin belanja po nak makan ais kepal milo ais kepal horlicks cendol topi doket gerai rozak me uaku taipan 2 kembar baby romantika bank islam nawa,0,0,0,0,0,0,0,0,0,0,0,0
9,enak ngewe,0,1,0,0,0,0,0,0,0,0,0,0
10,setidakn gue jari te ah gue ukur li bacot,1,1,1,0,0,0,0,0,1,1,0,0
11,banci kali malu bi pe an an 2 nyu sep koe,1,1,1,0,0,0,0,1,0,1,0,0
12,ajar ekonomi mestin jago privat sih hati aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
13,aktor huru hara 98 prabowo sih i in le serkan perintah jokowi ta,1,0,1,0,0,0,0,0,1,1,0,0
14,bu guru enak jablay guru sekolah dasar nka nikmat pecun guru,1,1,1,0,0,0,0,1,0,1,0,0
15,lawan bicara gue intelek kayak otak kenci onta gue me hadis nabi ih kafir kayak ti tolak makan ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
16,belaka an pikir as ba et,0,0,0,0,0,0,0,0,0,0,0,0
17,ari rua bek rapi monyet,0,1,0,0,0,0,0,0,0,0,0,0
18,cowok gantle gantle aman banci,1,1,0,1,0,0,0,1,0,0,1,0
19,alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
20,anjing gue jara ambek takut wkwk gue budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
21,noob ti pelua kitin gede sih,0,0,0,0,0,0,0,0,0,0,0,0
22,joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal duku an politik ketidakm uan pemerintahann me hadap situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0
23,ajar camat bilah hilir deklarasi anti hoaks pilih kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0
24,bandara udara internasional ajati diba uji nasional gubernur ahmad her wan anggar belanja negara perintah t ins allah operasi,0,0,0,0,0,0,0,0,0,0,0,0
25,gubernur presidenn tn,0,0,0,0,0,0,0,0,0,0,0,0
26,sih kerjaann delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0
27,pintu sorga pintu sorga asli pintu hati modusba et,0,0,0,0,0,0,0,0,0,0,0,0
28,partai komunis indonesia han muncul pilih kepala daerah pilih presiden digore sih ai goso,1,0,0,1,0,1,0,0,0,0,1,0
29,nenek nenek heran cebo bia iya boho,1,1,1,0,0,0,0,0,1,1,0,0
30,islam nu ntara produk jil arkan gencar antek jil jil anti arab pro ase almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
31,habis hur sih e jam 10 sih bayi nete kali ra lemas,0,0,0,0,0,0,0,0,0,0,0,0
32,kak emak suka sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
33,laku homo jaman now entot mbil live blued gay video gvid lokalha at,0,1,0,0,0,0,0,0,0,0,0,0
34,kak gue jawa maaf k gue palemba soaln kakak deh ajar ra jawa kelak ajar buda palemba,0,0,0,0,0,0,0,0,0,0,0,0
35,pegawai guardian traini kayak menta 2 kayak gembel kaos flat shoes nan dijutekin ba emak malas bin kabur gue matahari,1,1,0,1,0,0,0,0,1,0,1,0
36,x9dpara baji an luka lady terima ganjar ratus kali lipat nji selamat ulang laut jkt48,0,1,0,0,0,0,0,0,0,0,0,0
37,aja tolak berita hoaks sukses pilih kepala daerah wila h kota,0,0,0,0,0,0,0,0,0,0,0,0
38,presiden ri jokowi luarbia kerja tulus ikhlas tb3r majkw,0,0,0,0,0,0,0,0,0,0,0,0
39,edan emak goolln fabiano,0,1,0,0,0,0,0,0,0,0,0,0
40,al alquran ba pante mulutn kakak kafir bejat hina farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
41,at lihat beda kewibawaann at wibawa gubernur indonesia mass allah,0,0,0,0,0,0,0,0,0,0,0,0
42,anjir kali lihat bego debat pilih kepala daerah kerjan nyera kakak ter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
43,gubernur zaman now gus ipul puti 2 ganjar sin1 djarot ar2 nanton2 koster ace 1 nurdin sudirman 3 karoli idot2 keanekaragaman buda suku agama sesi guhn keka an djarot hadap pese a ercabsu,0,0,0,0,0,0,0,0,0,0,0,0
44,islam lokal sih kristen mas nu ntaran mas lihat gereja bandu pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan kura nu ntara,0,0,0,0,0,0,0,0,0,0,0,0
45,cipta situasi aman tertib masyarakat pilih kepala daerah 2018 kepala polisi sektor kona silaturahmi tokoh mas at,0,0,0,0,0,0,0,0,0,0,0,0
46,positif nse positif respon mas at hadap ca kul impor garam impor beras impor jagu impor tenaga kerja impor esemka impor,0,0,0,0,0,0,0,0,0,0,0,0
47,sembah me adopsi tradisi lokal kerja hindu istilah xa0sembah xa0pun lahir tradisi ritus xa0menyembahh gal deh an xa0shalat sembah all,0,0,0,0,0,0,0,0,0,0,0,0
48,didik ti bodoh lara bawa agama biar islam ba r ahok dar pilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0
49,ahok the best abai kaum k ret otak micin,1,1,0,1,0,0,0,0,1,0,1,0
50,sih otak tempuru h laden lawan du makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
51,awaasss sih e rit sih e saudara geru su h ri katany bocor mici in mata bibir monyo kes i suara ky nhn kentut politik kotor zaman b pl mbil ky nhn eden du,1,1,1,0,0,0,1,0,0,1,0,0
52,pinokio umur 3 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
53,cerita silat lae kho pi oh indonesia lia ie shen tulis cina,0,0,0,0,0,0,0,0,0,0,0,0
54,benci umat islam,1,0,0,1,1,0,0,0,0,0,1,0
55,provokasi t politi sih agama kalah pilih kepala daerah daerah khusus kota cebo deskripsi kalah junju ann for your information ahok pilih camat wakil etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
56,gue nete,0,1,0,0,0,0,0,0,0,0,0,0
57,wkwk bani lowo,1,1,0,1,0,0,0,0,1,0,1,0
58,takabur bi lahir pe ua t ulama cendikia iblis makhluk alim ibadah atus ratus laknat hasud takabburn han seora ahli ilmu fil fat failosof mari demo sendi,0,0,0,0,0,0,0,0,0,0,0,0
59,a suka konser konser boros,0,0,0,0,0,0,0,0,0,0,0,0
60,sih ai makan racun ban k ulama me atak hukum rokok mubah,0,0,0,0,0,0,0,0,0,0,0,0
61,susilo bamba yudhoyono presiden ri 6 khofifah emil deh an mas at no 1 bi bagus khofifah emil nomor,0,0,0,0,0,0,0,0,0,0,0,0
62,bia kali gemar korea pop omonv teman teman idol gue banci homo,1,1,1,0,0,0,0,1,0,1,0,0
63,suka video ki h seteru haji bolot malih to to,0,0,0,0,0,0,0,0,0,0,0,0
64,buda kafir bersu guh islam indah,0,0,0,0,0,0,0,0,0,0,0,0
65,hem hem diam bisu coba tan rumput bergo,0,0,0,0,0,0,0,0,0,0,0,0
66,setan bisik was was lindu an allah qs al a x99raf 200 fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0
67,ateis sibuk agama,0,0,0,0,0,0,0,0,0,0,0,0
68,le serkan jokowi ba t,1,1,1,0,0,0,0,0,1,0,0,1
69,selamat kakak 2019 ganti presiden 2019 presiden,0,0,0,0,0,0,0,0,0,0,0,0
70,baji an homo hati hati hadap anak anak utama kamar mandi laki laki biar,1,1,1,0,0,0,0,1,0,1,0,0
71,cocot,1,1,1,0,0,0,0,0,1,1,0,0
72,buda indonesia,0,0,0,0,0,0,0,0,0,0,0,0
73,ajar salat a ase han i in pecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
74,x omo ba,1,1,1,0,0,0,0,0,1,1,0,0
75,perca i negara jajah ranah bubar sistem sistem beraja negara negara republik komunis negara negara jaja,0,0,0,0,0,0,0,0,0,0,0,0
76,nikmat bijak usul partai komunis indonesia iya,1,0,0,1,0,1,0,0,0,0,1,0
77,umpama cina usir indonesia,1,0,0,1,0,1,0,0,0,0,1,0
78,bunda entot yuk,0,1,0,0,0,0,0,0,0,0,0,0
79,cina babi cina mal usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1
80,bu karno anti asi beliau jawa coba deh adakan konsensus ban k jawa anti asi pro asi kebo ohann keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
81,proyek korupsi rezim susilo bambang yudhoyono,1,0,1,0,0,0,0,0,1,1,0,0
82,wajar lihat ti kah peti negeri suka menc bahas indonesia bahas asi kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
83,ab pribadi sena kompetisi positif,0,0,0,0,0,0,0,0,0,0,0,0
84,kitab suci agama om dadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
85,suka tutup mata tutup lihat te utup gara gara sipit,0,0,0,0,0,0,0,0,0,0,0,0
86,muslim mera nista kitab suci alquran an alquran an suku detik makna faktualn umat islam makna sirat fiksi,0,0,0,0,0,0,0,0,0,0,0,0
87,eh kakak r k a,1,1,1,0,0,0,0,0,1,1,0,0
88,bentar gue rilis album the onta sih wkwk,0,0,0,0,0,0,0,0,0,0,0,0
89,cebo ba mera pali,1,1,1,0,0,0,0,0,1,1,0,0
90,najis ba et gue etwit he,0,1,0,0,0,0,0,0,0,0,0,0
91,transgender anji,1,1,1,0,0,0,0,1,0,1,0,0
92,awas bintit intipin titit kuci,0,1,0,0,0,0,0,0,0,0,0,0
93,bawel bawa asa bolot bodor wkwk deh,0,1,0,0,0,0,0,0,0,0,0,0
94,ranin bacot mal a t su to the point paham riak kafir t liberal puja dukun bla blaaa ti hati puas deh,1,1,1,0,1,0,0,0,0,1,0,0
95,target ahok agenda utama le serkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
96,kena tagar pana ba et 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
97,maju duit go kaki pape duit nak maju kat bodoh,0,1,0,0,0,0,0,0,0,0,0,0
98,huria kristen batak protestan pecahn kristen katolik zaman jajah belanda aman kristen protestan kristen katolik pecah huria kristen batak protestan p kali tarutu k,0,0,0,0,0,0,0,0,0,0,0,0
99,ban k baca biar pintar jepa amerika cina uta tau e,0,0,0,0,0,0,0,0,0,0,0,0
100,prabowo kalah bantu jokowi han citra ratap pilu,1,0,1,0,0,0,0,0,1,1,0,0
101,takut deh an azan iblis,0,0,0,0,0,0,0,0,0,0,0,0
102,goblok bani cebo tuka tipu jilat pe ua ge in diba r pakai nasi bu kus propaganda nasi bu kus mema gagal,1,1,0,1,0,0,0,0,1,0,1,0
103,cebo sewot,1,1,1,0,0,0,0,0,1,1,0,0
104,2 ge an tekan penti kerja keras total ti katkan potensi ba,0,0,0,0,0,0,0,0,0,0,0,0
105,gubernur at djarot mayoritas ai politik dewan wakil rakyat daerah duku ahok djarot h,1,0,1,0,0,0,0,0,1,1,0,0
106,rezim ru k systeamn sibuk cari cari lahan ti ketemu komisi berantas korupsi alatn besok perintah ganti berula e ah sele i organ sih,0,0,0,0,0,0,0,0,0,0,0,0
107,at li menudi antek ase ase sesi guhn be epuk ta an,0,0,0,0,0,0,0,0,0,0,0,0
108,katan anti ase,0,0,0,0,0,0,0,0,0,0,0,0
109,selamat semoga bi kiprah ti kat nasional,0,0,0,0,0,0,0,0,0,0,0,0
110,asyikm3na ulama,0,0,0,0,0,0,0,0,0,0,0,0
111,tapa ban k tenaga kerja asing asi kerja peru haan masuk pt who tamba bauksit viral at pilih presiden bi kerja era gubernur cornelis wakiln,0,0,0,0,0,0,0,0,0,0,0,0
112,anak pecun hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
113,bom surat harga syariat negara,0,0,0,0,0,0,0,0,0,0,0,0
114,istirahat presiden momentum ksi tel a mata rapat bentuk pacitan 2003,0,0,0,0,0,0,0,0,0,0,0,0
115,1979 house select committee on as ssinations hsca temu cacat investigasi laku fbi warren commission hsca simpul tembak laku kemu konspirasi dalamn,0,0,0,0,0,0,0,0,0,0,0,0
116,tera genap 1 data 17 april 2018 gelar hajat pilih presiden acara negara indonesia pilih presiden semoga senantia jalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
117,ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
118,akun orang pintar agama emak agama nista me hujat orang bodoh orang maaf lahir idiot harga cipta tuhan i at iblis pintar at licik,0,1,0,0,0,0,0,0,0,0,0,0
119,daftar calon presiden pilih presiden 2019 buka sih ai agustus 2018 normatif politikus partai demokrasi indonesia juang paham 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0
120,sih tolol tau perintah rezim komunis bobrok koruptor bi pimpin sida dewan wakil rakyat cebo,1,1,1,0,0,1,0,0,0,1,0,0
121,gue mantan mantan gue mgera sedih e pikir gabi tidur gue era anak bre sek laki laki,0,1,0,0,0,0,0,0,0,0,0,0
122,cina peru k ba usir tuju,1,0,0,1,0,1,0,0,0,0,0,1
123,2019 ganti presiden konstitusional hak t woiii nih a plo o laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0
124,mari wujud pilih kepala daerah kota be kulu 2018 aman damai cok adem86 98heru,0,0,0,0,0,0,0,0,0,0,0,0
125,tan serius presiden jokowi islam nu ntara kristen nu ntara buddha hindu hucu nu ntara,0,0,0,0,0,0,0,0,0,0,0,0
126,kor pern taan moeldoko bukti istana takut deh an keba kit umat islam,0,0,0,0,0,0,0,0,0,0,0,0
127,cowok jago drasex entot adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
128,kroasia kafir tau ajar kafir lupa kapli sorga,1,1,0,1,1,0,0,0,0,0,1,0
129,menteri suha o homo,1,1,1,0,0,0,0,1,0,1,0,0
130,tau culun takut ti ubah perlahan lahan buruk,0,0,0,0,0,0,0,0,0,0,0,0
131,pera lib raja afrika kni babilonia peluk kristen tobaco peluk islam,0,0,0,0,0,0,0,0,0,0,0,0
132,kejar setora mema ba rupiah turun,1,1,1,0,0,0,0,0,1,1,0,0
133,semoga tindak lanjutn lapor hadap nista agama adek armando laku su ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jaka a t 10 4 13 00 indonesia barat perhaps,1,0,1,0,1,0,0,0,0,1,0,0
134,ba hajar,1,1,1,0,0,0,0,0,1,0,0,1
135,onta mati ban minum,1,0,0,1,0,0,0,0,1,0,1,0
